CreateCharacter(Jonathan)
Jonathan.SetPosition(-0.02 2.5)
Jonathan.show()

Jonathan "(Я проснулся в больнице. Белые стены, запах антисептика, тусклый свет над головой.)"

Jonathan "Что за…"

Jonathan "А, я в больнице."

Jonathan "(Ко мне подошла медсестра.)"

Nurse "Вы проснулись. К вам пришел гость."

Jonathan "(В палату зашёл мой напарник Лэнс.)"

Lance "Ты проснулся раньше чем я думал, учитывая что тебе лоб подстрелили."

Lance "К сожалению это не освобождает тебя от работы. Вот держи дело."

Jonathan "(Я взял дело.)"

Lance "Считай что ты сегодня особенный и имеешь право разобрать дело в любом месте, только сильно не расслабляйся, иначе начальница тебя отправит в больницу снова, хех."

Jonathan "Хорошо. Начну когда меня выпишут из больницы. Надеюсь что Начальница не начнёт метать гром и молнии из-за слабого старта."

Lance "Удачи, я на работу."

Jonathan "Не слови пулю."

Jonathan "(Лэнс вышел из больницы.)"

Jonathan "(Меня выписали из больницы, и я решил прогуляться по городу прежде чем идти домой.)"

Jonathan "(Я решил зайти в местную кофейню за кофе.)"

Jonathan "Здравствуйте, мне один американо."

Jonathan "(За кассой вместо молодой кассирши сидела владелица кафе по имени Сесилия, но мне было не до этого.)"

Cecilia "Добрый день мистер Джонатан! Вижу вам как всегда."

Jonathan "(Заплатив за кофе, я решил идти дальше.)"

Jonathan "Благодарю. Доброго дня вам."

Cecilia "Всего доброго."

Jonathan "(Выйдя из кафе, я должен был отдать выписку в офис.)"

Jonathan "(Заходя в офис, меня сразу встретила наша Начальница Джин.)"

Jean "Всё-таки выжил, покажи свою выписку и иди домой. У нас и так много работы."

Jonathan "Хорошо."

Jonathan "(Отдав свою выписку, я пошёл домой.)"

Jonathan "(Прежде чем заходить в свою берлогу, я решил постучать в соседнюю квартиру — проверить свою соседку.)"

Jonathan "(Она открыла мне дверь. Всё-таки жива.)"

Emily "О, здравствуйте Мистер Джонатан, вы что-то хотели?"

Jonathan "Приветствую, нет, хотел убедиться что вы тут или нет."

Emily "Аа, хо-хорошо, до свидания."

Jonathan "(Не успев сказать слова, она быстро закрыла дверь на замок.)"

Jonathan "Как всегда, хотя бы она жива."

Jonathan "(Зайдя в свою квартиру, я решил проверить свежее дело.)"
